"1. If you are happy to proceed with the experiment, please click below to provide your consent.",2. Please enter your Prolific ID to continue:,3. Please tell us whether you identify as a:,4. How old are you?,5. Please indicate which hand you use for the following activities or objects:,5.1. Writing,5.2. Drawing,5.3. Throwing,5.4. Scissors,5.5. Toothbrush,5.6. Knife (without fork),5.7. Spoon,5.8. Broom (upper hand),5.9. Striking match (match),5.10. Opening box (lid),StartDate,CompletionDate
I give my consent to take part in the experiment,60ff1233ba764c3de1cf31a1,Man,24,,Always right,Always right,Usually right,Usually right,Both equally,Usually right,Usually right,Usually right,Usually right,Both equally,2022-10-17 11:23:00 UTC,2022-10-17 11:24:43 UTC
I give my consent to take part in the experiment,615edbdae7feeb515b7f2a79,Woman,34,,Always right,Always right,Usually right,Always right,Usually right,Always right,Always right,Always right,Always right,Usually right,2022-10-17 11:24:05 UTC,2022-10-17 11:25:18 UTC
I give my consent to take part in the experiment,6145ef2c66351c745a2e9a68,Man,39,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Both equally,2022-10-17 11:23:05 UTC,2022-10-17 11:25:54 UTC
I give my consent to take part in the experiment,60a54940b6b52c0adaeb31d6,Woman,25,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Usually right,Both equally,2022-10-17 11:23:40 UTC,2022-10-17 11:26:10 UTC
I give my consent to take part in the experiment,611e1eee7989eadcee23045c,Woman,28,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-17 11:23:35 UTC,2022-10-17 11:26:54 UTC
I give my consent to take part in the experiment,614719d2203cf5a09b786004,Man,29,,Always right,Always right,Always right,Always right,Always right,Both equally,Usually right,Both equally,Both equally,Usually left,2022-10-17 11:23:08 UTC,2022-10-17 11:27:18 UTC
I give my consent to take part in the experiment,610140be5916936837972940,Woman,19,,Always right,Usually right,Usually right,Always right,Both equally,Always right,Usually right,Usually right,Always right,Both equally,2022-10-17 11:24:56 UTC,2022-10-17 11:27:18 UTC
I give my consent to take part in the experiment,6025df3ed83eed206142329a,Woman,22,,Always left,Always left,Usually left,Always left,Always left,Usually left,Always left,Always left,Both equally,Both equally,2022-10-17 11:22:56 UTC,2022-10-17 11:27:29 UTC
I give my consent to take part in the experiment,6130d846086f43ecd225d128,Man,25,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,Usually right,Usually right,2022-10-17 11:49:21 UTC,2022-10-17 11:51:13 UTC
I give my consent to take part in the experiment,6102de6a11e4443a9ec8717e,Man,19,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-17 11:50:27 UTC,2022-10-17 11:52:13 UTC
I give my consent to take part in the experiment,5bb511c6689fc5000149c703,Woman,46,,Always left,Usually left,Both equally,Always left,Usually left,Usually left,Always left,Usually left,Usually left,Both equally,2022-10-17 11:54:52 UTC,2022-10-17 11:58:28 UTC
I give my consent to take part in the experiment,60fc39cce64c39328a7c8904,Man,26,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-17 12:00:52 UTC,2022-10-17 12:01:31 UTC
I give my consent to take part in the experiment,60b4b71ea2fc6f6e6c3ba96b,Man,22,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Usually right,2022-10-19 11:45:28 UTC,2022-10-19 11:47:22 UTC
I give my consent to take part in the experiment,60cdc880e45d55a792e1d315,Woman,23,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always left,Always right,Both equally,2022-10-19 11:45:01 UTC,2022-10-19 11:48:07 UTC
I give my consent to take part in the experiment,5efc4c06d5d77c0008dd1792,Woman,23,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 11:47:11 UTC,2022-10-19 11:49:02 UTC
I give my consent to take part in the experiment,5f4f5fa9cb9a39000c600ad3,Man,43,,Always right,Always right,Always right,Always right,Usually right,Both equally,Always right,Always left,Always right,Both equally,2022-10-19 11:45:34 UTC,2022-10-19 11:58:22 UTC
I give my consent to take part in the experiment,61348ef2946cbdbf17d81135,Woman,24,,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,Always right,2022-10-19 11:56:19 UTC,2022-10-19 11:59:10 UTC
I give my consent to take part in the experiment,5c4318404d76b1000173d466,Man,21,,Always right,Always right,Usually right,Always right,Always right,Always right,Always right,Always right,Usually right,Usually right,2022-10-19 11:44:53 UTC,2022-10-19 12:00:55 UTC
I give my consent to take part in the experiment,6303c0bf11a5be642b52830e,Woman,34,,Always left,Always left,Usually right,Always left,Always left,Always left,Always left,Both equally,Always left,Both equally,2022-10-19 12:16:57 UTC,2022-10-19 12:17:59 UTC
